# Solution file
# Created: 2026-02-05 15:49:50
# Objective value: -53.95615741989585
# Variable values
power_dom[('HP', 0, 0)] 0.000000
heat_dom[('EH', 0, 15)] 0.000000
heat_dom[('EH', 0, 16)] 0.000000
heat_dom[('EH', 0, 17)] 0.000000
heat_dom[('EH', 0, 18)] 0.000000
heat_dom[('EH', 0, 19)] 0.000000
heat_dom[('EH', 0, 20)] 0.000000
heat_dom[('EH', 0, 21)] 0.000000
heat_dom[('EH', 0, 22)] 0.000000
heat_dom[('EH', 0, 23)] 0.000000
heat_dom[('EH', 0, 24)] 0.000000
heat_dom[('EH', 0, 25)] 0.000000
heat_dom[('EH', 0, 26)] 0.000000
heat_dom[('EH', 0, 27)] 0.000000
heat_dom[('EH', 0, 28)] 0.000000
heat_dom[('EH', 0, 29)] 0.000000
heat_dom[('EH', 0, 30)] 0.000000
heat_dom[('EH', 0, 31)] 0.000000
heat_dom[('EH', 0, 32)] 0.000000
heat_dom[('EH', 0, 33)] 0.000000
heat_dom[('EH', 0, 34)] 0.000000
heat_dom[('EH', 0, 35)] 0.000000
heat_dom[('EH', 0, 36)] 0.000000
heat_dom[('EH', 0, 37)] 0.000000
heat_dom[('EH', 0, 38)] 0.000000
heat_dom[('EH', 0, 39)] 0.000000
heat_dom[('EH', 0, 40)] 0.000000
heat_dom[('EH', 0, 41)] 0.000000
heat_dom[('EH', 0, 42)] 0.000000
heat_dom[('EH', 0, 43)] 0.000000
heat_dom[('EH', 0, 44)] 0.000000
heat_dom[('EH', 0, 45)] 0.000000
heat_dom[('EH', 0, 46)] 0.000000
heat_dom[('EH', 0, 47)] 0.000000
heat_dom[('EH', 0, 48)] 0.000000
heat_dom[('EH', 0, 49)] 0.000000
heat_dom[('EH', 0, 50)] 0.000000
heat_dom[('EH', 0, 51)] 0.000000
heat_dom[('EH', 0, 52)] 0.000000
heat_dom[('EH', 0, 53)] 0.000000
heat_dom[('EH', 0, 54)] 0.000000
heat_dom[('EH', 0, 55)] 0.000000
heat_dom[('EH', 0, 56)] 0.000000
heat_dom[('EH', 0, 57)] 0.000000
heat_dom[('EH', 0, 58)] 0.000000
heat_dom[('EH', 0, 59)] 0.000000
heat_dom[('EH', 0, 60)] 0.000000
heat_dom[('EH', 0, 61)] 0.000000
heat_dom[('EH', 0, 62)] 0.000000
heat_dom[('EH', 0, 63)] 0.000000
heat_dom[('EH', 0, 64)] 0.000000
heat_dom[('EH', 0, 65)] 0.000000
heat_dom[('EH', 0, 66)] 0.000000
heat_dom[('EH', 0, 67)] 0.000000
heat_dom[('EH', 0, 68)] 0.000000
heat_dom[('EH', 0, 69)] 0.000000
heat_dom[('EH', 0, 70)] 0.000000
heat_dom[('EH', 0, 71)] 0.000000
heat_dom[('EH', 0, 72)] 0.000000
heat_dom[('EH', 0, 73)] 0.000000
heat_dom[('EH', 0, 74)] 0.000000
heat_dom[('EH', 0, 75)] 0.000000
heat_dom[('EH', 0, 76)] 0.000000
heat_dom[('EH', 0, 77)] 0.000000
heat_dom[('EH', 0, 78)] 0.000000
heat_dom[('EH', 0, 79)] 0.000000
heat_dom[('EH', 0, 80)] 0.000000
heat_dom[('EH', 0, 81)] 0.000000
heat_dom[('EH', 0, 82)] 0.000000
heat_dom[('EH', 0, 83)] 0.000000
heat_dom[('EH', 0, 84)] 0.000000
heat_dom[('EH', 0, 85)] 0.000000
heat_dom[('EH', 0, 86)] 0.000000
heat_dom[('EH', 0, 87)] 0.000000
heat_dom[('EH', 0, 88)] 0.000000
heat_dom[('EH', 0, 89)] 0.000000
heat_dom[('EH', 0, 90)] 0.000000
heat_dom[('EH', 0, 91)] 0.000000
heat_dom[('EH', 0, 92)] 0.000000
heat_dom[('EH', 0, 93)] 0.000000
heat_dom[('EH', 0, 94)] 0.000000
heat_dom[('EH', 0, 95)] 0.000000
heat_dom[('EH', 0, 96)] 0.000000
heat_dom[('EH', 0, 97)] 0.000000
heat_dom[('EH', 0, 98)] 0.000000
heat_dom[('EH', 0, 99)] 0.000000
heat_dom[('EH', 0, 100)] 0.000000
heat_dom[('EH', 0, 101)] 0.000000
heat_dom[('EH', 0, 102)] 0.000000
heat_dom[('EH', 0, 103)] 0.000000
heat_dom[('EH', 0, 104)] 0.000000
heat_dom[('EH', 0, 105)] 0.000000
heat_dom[('EH', 0, 106)] 0.000000
heat_dom[('EH', 0, 107)] 0.000000
heat_dom[('EH', 0, 108)] 0.000000
heat_dom[('EH', 0, 109)] 0.000000
heat_dom[('EH', 0, 110)] 0.000000
heat_dom[('EH', 0, 111)] 0.000000
heat_dom[('EH', 0, 112)] 0.000000
heat_dom[('EH', 0, 113)] 0.000000
heat_dom[('EH', 0, 114)] 0.000000
heat_dom[('EH', 0, 115)] 0.000000
heat_dom[('EH', 0, 116)] 0.000000
heat_dom[('EH', 0, 117)] 0.000000
heat_dom[('EH', 0, 118)] 0.000000
heat_dom[('EH', 0, 119)] 0.000000
heat_dom[('EH', 0, 120)] 0.000000
heat_dom[('EH', 0, 121)] 0.000000
heat_dom[('EH', 0, 122)] 0.000000
heat_dom[('EH', 0, 123)] 0.000000
heat_dom[('EH', 0, 124)] 0.000000
heat_dom[('EH', 0, 125)] 0.000000
heat_dom[('EH', 0, 126)] 0.000000
heat_dom[('EH', 0, 127)] 0.000000
heat_dom[('EH', 0, 128)] 0.000000
heat_dom[('EH', 0, 129)] 0.000000
heat_dom[('EH', 0, 130)] 0.000000
heat_dom[('EH', 0, 131)] 0.000000
heat_dom[('EH', 0, 132)] 0.000000
heat_dom[('EH', 0, 133)] 0.000000
heat_dom[('EH', 0, 134)] 0.000000
heat_dom[('EH', 0, 135)] 0.000000
heat_dom[('EH', 0, 136)] 0.000000
heat_dom[('EH', 0, 137)] 0.000000
heat_dom[('EH', 0, 138)] 0.000000
heat_dom[('EH', 0, 139)] 0.000000
heat_dom[('EH', 0, 140)] 0.000000
heat_dom[('EH', 0, 141)] 0.000000
heat_dom[('EH', 0, 142)] 0.000000
heat_dom[('EH', 0, 143)] 0.000000
heat_dom[('EH', 0, 144)] 0.000000
heat_dom[('EH', 0, 145)] 0.000000
heat_dom[('EH', 0, 146)] 0.000000
heat_dom[('EH', 0, 147)] 0.000000
heat_dom[('EH', 0, 148)] 0.000000
heat_dom[('EH', 0, 149)] 0.000000
heat_dom[('EH', 0, 150)] 0.000000
heat_dom[('EH', 0, 151)] 0.000000
heat_dom[('EH', 0, 152)] 0.000000
heat_dom[('EH', 0, 153)] 0.000000
heat_dom[('EH', 0, 154)] 0.000000
heat_dom[('EH', 0, 155)] 0.000000
heat_dom[('EH', 0, 156)] 0.000000
heat_dom[('EH', 0, 157)] 0.000000
heat_dom[('EH', 0, 158)] 0.000000
heat_dom[('EH', 0, 159)] 0.000000
heat_dom[('EH', 0, 160)] 0.000000
heat_dom[('EH', 0, 161)] 0.000000
heat_dom[('EH', 0, 162)] 0.000000
heat_dom[('EH', 0, 163)] 0.000000
heat_dom[('EH', 0, 164)] 0.000000
heat_dom[('EH', 0, 165)] 0.000000
heat_dom[('EH', 0, 166)] 0.000000
heat_dom[('EH', 0, 167)] 0.000000
heat_dom[('EH', 1, 0)] 0.000000
heat_dom[('EH', 1, 1)] 0.000000
heat_dom[('EH', 1, 2)] 0.000000
heat_dom[('EH', 1, 3)] 0.000000
heat_dom[('EH', 1, 4)] 0.000000
heat_dom[('EH', 1, 5)] 0.000000
heat_dom[('EH', 1, 6)] 0.000000
heat_dom[('EH', 1, 7)] 0.000000
heat_dom[('EH', 1, 8)] 0.000000
heat_dom[('EH', 1, 9)] 0.000000
heat_dom[('EH', 1, 10)] 0.000000
heat_dom[('EH', 1, 11)] 0.000000
heat_dom[('EH', 1, 12)] 0.000000
heat_dom[('EH', 1, 13)] 0.000000
heat_dom[('EH', 1, 14)] 0.000000
heat_dom[('EH', 1, 15)] 0.000000
heat_dom[('EH', 1, 16)] 0.000000
heat_dom[('EH', 1, 17)] 0.000000
heat_dom[('EH', 1, 18)] 0.000000
heat_dom[('EH', 1, 19)] 0.000000
heat_dom[('EH', 1, 20)] 0.000000
heat_dom[('EH', 1, 21)] 0.000000
heat_dom[('EH', 1, 22)] 0.000000
heat_dom[('EH', 1, 23)] 0.000000
heat_dom[('EH', 1, 24)] 0.000000
heat_dom[('EH', 1, 25)] 0.000000
heat_dom[('EH', 1, 26)] 0.000000
heat_dom[('EH', 1, 27)] 0.000000
heat_dom[('EH', 1, 28)] 0.000000
heat_dom[('EH', 1, 29)] 0.000000
heat_dom[('EH', 1, 30)] 0.000000
heat_dom[('EH', 1, 31)] 0.000000
heat_dom[('EH', 1, 32)] 0.000000
heat_dom[('EH', 1, 33)] 0.000000
heat_dom[('EH', 1, 34)] 0.000000
heat_dom[('EH', 1, 35)] 0.000000
heat_dom[('EH', 1, 36)] 0.000000
heat_dom[('EH', 1, 37)] 0.000000
heat_dom[('EH', 1, 38)] 0.000000
heat_dom[('EH', 1, 39)] 0.000000
heat_dom[('EH', 1, 40)] 0.000000
heat_dom[('EH', 1, 41)] 0.000000
heat_dom[('EH', 1, 42)] 0.000000
heat_dom[('EH', 1, 43)] 0.000000
heat_dom[('EH', 1, 44)] 0.000000
heat_dom[('EH', 1, 45)] 0.000000
heat_dom[('EH', 1, 46)] 0.000000
heat_dom[('EH', 1, 47)] 0.000000
heat_dom[('EH', 1, 48)] 0.000000
heat_dom[('EH', 1, 49)] 0.000000
heat_dom[('EH', 1, 50)] 0.000000
heat_dom[('EH', 1, 51)] 0.000000
heat_dom[('EH', 1, 52)] 0.000000
heat_dom[('EH', 1, 53)] 0.000000
heat_dom[('EH', 1, 54)] 0.000000
heat_dom[('EH', 1, 55)] 0.000000
heat_dom[('EH', 1, 56)] 0.000000
heat_dom[('EH', 1, 57)] 0.000000
heat_dom[('EH', 1, 58)] 0.000000
heat_dom[('EH', 1, 59)] 0.000000
heat_dom[('EH', 1, 60)] 0.000000
heat_dom[('EH', 1, 61)] 0.000000
heat_dom[('EH', 1, 62)] 0.000000
heat_dom[('EH', 1, 63)] 0.000000
heat_dom[('EH', 1, 64)] 0.000000
heat_dom[('EH', 1, 65)] 0.000000
heat_dom[('EH', 1, 66)] 0.000000
heat_dom[('EH', 1, 67)] 0.000000
heat_dom[('EH', 1, 68)] 0.000000
heat_dom[('EH', 1, 69)] 0.000000
heat_dom[('EH', 1, 70)] 0.000000
heat_dom[('EH', 1, 71)] 0.000000
heat_dom[('EH', 1, 72)] 0.000000
heat_dom[('EH', 1, 73)] 0.000000
heat_dom[('EH', 1, 74)] 0.000000
heat_dom[('EH', 1, 75)] 0.000000
heat_dom[('EH', 1, 76)] 0.000000
heat_dom[('EH', 1, 77)] 0.000000
heat_dom[('EH', 1, 78)] 0.000000
heat_dom[('EH', 1, 79)] 0.000000
heat_dom[('EH', 1, 80)] 0.000000
heat_dom[('EH', 1, 81)] 0.000000
heat_dom[('EH', 1, 82)] 0.000000
heat_dom[('EH', 1, 83)] 0.000000
heat_dom[('EH', 1, 84)] 0.000000
heat_dom[('EH', 1, 85)] 0.000000
heat_dom[('EH', 1, 86)] 0.000000
heat_dom[('EH', 1, 87)] 0.000000
heat_dom[('EH', 1, 88)] 0.000000
heat_dom[('EH', 1, 89)] 0.000000
heat_dom[('EH', 1, 90)] 0.000000
heat_dom[('EH', 1, 91)] 0.000000
heat_dom[('EH', 1, 92)] 0.000000
heat_dom[('EH', 1, 93)] 0.000000
heat_dom[('EH', 1, 94)] 0.000000
heat_dom[('EH', 1, 95)] 0.000000
heat_dom[('EH', 1, 96)] 0.000000
heat_dom[('EH', 1, 97)] 0.000000
heat_dom[('EH', 1, 98)] 0.000000
heat_dom[('EH', 1, 99)] 0.000000
heat_dom[('EH', 1, 100)] 0.000000
heat_dom[('EH', 1, 101)] 0.000000
heat_dom[('EH', 1, 102)] 0.000000
heat_dom[('EH', 1, 103)] 0.000000
heat_dom[('EH', 1, 104)] 0.000000
heat_dom[('EH', 1, 105)] 0.000000
heat_dom[('EH', 1, 106)] 0.000000
heat_dom[('EH', 1, 107)] 0.000000
heat_dom[('EH', 1, 108)] 0.000000
heat_dom[('EH', 1, 109)] 0.000000
heat_dom[('EH', 1, 110)] 0.000000
heat_dom[('EH', 1, 111)] 0.000000
heat_dom[('EH', 1, 112)] 0.000000
heat_dom[('EH', 1, 113)] 0.000000
heat_dom[('EH', 1, 114)] 0.000000
heat_dom[('EH', 1, 115)] 0.000000
heat_dom[('EH', 1, 116)] 0.000000
heat_dom[('EH', 1, 117)] 0.000000
heat_dom[('EH', 1, 118)] 0.000000
heat_dom[('EH', 1, 119)] 0.000000
heat_dom[('EH', 1, 120)] 0.000000
heat_dom[('EH', 1, 121)] 0.000000
heat_dom[('EH', 1, 122)] 0.000000
heat_dom[('EH', 1, 123)] 0.000000
heat_dom[('EH', 1, 124)] 0.000000
heat_dom[('EH', 1, 125)] 0.000000
heat_dom[('EH', 1, 126)] 0.000000
heat_dom[('EH', 1, 127)] 0.000000
heat_dom[('EH', 1, 128)] 0.000000
heat_dom[('EH', 1, 129)] 0.000000
heat_dom[('EH', 1, 130)] 0.000000
heat_dom[('EH', 1, 131)] 0.000000
heat_dom[('EH', 1, 132)] 0.000000
heat_dom[('EH', 1, 133)] 0.000000
heat_dom[('EH', 1, 134)] 0.000000
heat_dom[('EH', 1, 135)] 0.000000
heat_dom[('EH', 1, 136)] 0.000000
heat_dom[('EH', 1, 137)] 0.000000
heat_dom[('EH', 1, 138)] 0.000000
heat_dom[('EH', 1, 139)] 0.000000
heat_dom[('EH', 1, 140)] 0.000000
heat_dom[('EH', 1, 141)] 0.000000
heat_dom[('EH', 1, 142)] 0.000000
heat_dom[('EH', 1, 143)] 0.000000
heat_dom[('EH', 1, 144)] 0.000000
heat_dom[('EH', 1, 145)] 0.000000
heat_dom[('EH', 1, 146)] 0.000000
heat_dom[('EH', 1, 147)] 0.000000
heat_dom[('EH', 1, 148)] 0.000000
heat_dom[('EH', 1, 149)] 0.000000
heat_dom[('EH', 1, 150)] 0.000000
heat_dom[('EH', 1, 151)] 0.000000
heat_dom[('EH', 1, 152)] 0.000000
heat_dom[('EH', 1, 153)] 0.000000
heat_dom[('EH', 1, 154)] 0.000000
heat_dom[('EH', 1, 155)] 0.000000
heat_dom[('EH', 1, 156)] 0.000000
heat_dom[('EH', 1, 157)] 0.000000
heat_dom[('EH', 1, 158)] 0.000000
heat_dom[('EH', 1, 159)] 0.000000
heat_dom[('EH', 1, 160)] 0.000000
heat_dom[('EH', 1, 161)] 0.000000
heat_dom[('EH', 1, 162)] 0.000000
heat_dom[('EH', 1, 163)] 0.000000
heat_dom[('EH', 1, 164)] 0.000000
heat_dom[('EH', 1, 165)] 0.000000
heat_dom[('EH', 1, 166)] 0.000000
heat_dom[('EH', 1, 167)] 0.000000
heat_dom[('EH', 2, 0)] 0.000000
heat_dom[('EH', 2, 1)] 0.000000
heat_dom[('EH', 2, 2)] 0.000000
heat_dom[('EH', 2, 3)] 0.000000
heat_dom[('EH', 2, 4)] 0.000000
heat_dom[('EH', 2, 5)] 0.000000
heat_dom[('EH', 2, 6)] 0.000000
heat_dom[('EH', 2, 7)] 0.000000
heat_dom[('EH', 2, 8)] 0.000000
heat_dom[('EH', 2, 9)] 0.000000
heat_dom[('EH', 2, 10)] 0.000000
heat_dom[('EH', 2, 11)] 0.000000
heat_dom[('EH', 2, 12)] 0.000000
heat_dom[('EH', 2, 13)] 0.000000
heat_dom[('EH', 2, 14)] 0.000000
heat_dom[('EH', 2, 15)] 0.000000
heat_dom[('EH', 2, 16)] 0.000000
heat_dom[('EH', 2, 17)] 0.000000
heat_dom[('EH', 2, 18)] 0.000000
heat_dom[('EH', 2, 19)] 0.000000
heat_dom[('EH', 2, 20)] 0.000000
heat_dom[('EH', 2, 21)] 0.000000
heat_dom[('EH', 2, 22)] 0.000000
heat_dom[('EH', 2, 23)] 0.000000
heat_dom[('EH', 2, 24)] 0.000000
heat_dom[('EH', 2, 25)] 0.000000
heat_dom[('EH', 2, 26)] 0.000000
heat_dom[('EH', 2, 27)] 0.000000
heat_dom[('EH', 2, 28)] 0.000000
heat_dom[('EH', 2, 29)] 0.000000
heat_dom[('EH', 2, 30)] 0.000000
heat_dom[('EH', 2, 31)] 0.000000
heat_dom[('EH', 2, 32)] 0.000000
heat_dom[('EH', 2, 33)] 0.000000
heat_dom[('EH', 2, 34)] 0.000000
heat_dom[('EH', 2, 35)] 0.000000
heat_dom[('EH', 2, 36)] 0.000000
heat_dom[('EH', 2, 37)] 0.000000
heat_dom[('EH', 2, 38)] 0.000000
heat_dom[('EH', 2, 39)] 0.000000
heat_dom[('EH', 2, 40)] 0.000000
heat_dom[('EH', 2, 41)] 0.000000
heat_dom[('EH', 2, 42)] 0.000000
heat_dom[('EH', 2, 43)] 0.000000
heat_dom[('EH', 2, 44)] 0.000000
heat_dom[('EH', 2, 45)] 0.000000
heat_dom[('EH', 2, 46)] 0.000000
heat_dom[('EH', 2, 47)] 0.000000
heat_dom[('EH', 2, 48)] 0.000000
heat_dom[('EH', 2, 49)] 0.000000
heat_dom[('EH', 2, 50)] 0.000000
heat_dom[('EH', 2, 51)] 0.000000
heat_dom[('EH', 2, 52)] 0.000000
heat_dom[('EH', 2, 53)] 0.000000
heat_dom[('EH', 2, 54)] 0.000000
heat_dom[('EH', 2, 55)] 0.000000
heat_dom[('EH', 2, 56)] 0.000000
heat_dom[('EH', 2, 57)] 0.000000
heat_dom[('EH', 2, 58)] 0.000000
heat_dom[('EH', 2, 59)] 0.000000
heat_dom[('EH', 2, 60)] 0.000000
heat_dom[('EH', 2, 61)] 0.000000
heat_dom[('EH', 2, 62)] 0.000000
heat_dom[('EH', 2, 63)] 0.000000
heat_dom[('EH', 2, 64)] 0.000000
heat_dom[('EH', 2, 65)] 0.000000
heat_dom[('EH', 2, 66)] 0.000000
heat_dom[('EH', 2, 67)] 0.000000
heat_dom[('EH', 2, 68)] 0.000000
heat_dom[('EH', 2, 69)] 0.000000
heat_dom[('EH', 2, 70)] 0.000000
heat_dom[('EH', 2, 71)] 0.000000
heat_dom[('EH', 2, 72)] 0.000000
heat_dom[('EH', 2, 73)] 0.000000
heat_dom[('EH', 2, 74)] 0.000000
heat_dom[('EH', 2, 75)] 0.000000
heat_dom[('EH', 2, 76)] 0.000000
heat_dom[('EH', 2, 77)] 0.000000
heat_dom[('EH', 2, 78)] 0.000000
heat_dom[('EH', 2, 79)] 0.000000
heat_dom[('EH', 2, 80)] 0.000000
heat_dom[('EH', 2, 81)] 0.000000
heat_dom[('EH', 2, 82)] 0.000000
heat_dom[('EH', 2, 83)] 0.000000
heat_dom[('EH', 2, 84)] 0.000000
heat_dom[('EH', 2, 85)] 0.000000
heat_dom[('EH', 2, 86)] 0.000000
heat_dom[('EH', 2, 87)] 0.000000
heat_dom[('EH', 2, 88)] 0.000000
heat_dom[('EH', 2, 89)] 0.000000
heat_dom[('EH', 2, 90)] 0.000000
heat_dom[('EH', 2, 91)] 0.000000
heat_dom[('EH', 2, 92)] 0.000000
heat_dom[('EH', 2, 93)] 0.000000
heat_dom[('EH', 2, 94)] 0.000000
heat_dom[('EH', 2, 95)] 0.000000
heat_dom[('EH', 2, 96)] 0.000000
heat_dom[('EH', 2, 97)] 0.000000
heat_dom[('EH', 2, 98)] 0.000000
heat_dom[('EH', 2, 99)] 0.000000
heat_dom[('EH', 2, 100)] 0.000000
heat_dom[('EH', 2, 101)] 0.000000
heat_dom[('EH', 2, 102)] 0.000000
heat_dom[('EH', 2, 103)] 0.000000
heat_dom[('EH', 2, 104)] 0.000000
heat_dom[('EH', 2, 105)] 0.000000
heat_dom[('EH', 2, 106)] 0.000000
heat_dom[('EH', 2, 107)] 0.000000
heat_dom[('EH', 2, 108)] 0.000000
heat_dom[('EH', 2, 109)] 0.000000
heat_dom[('EH', 2, 110)] 0.000000
heat_dom[('EH', 2, 111)] 0.000000
heat_dom[('EH', 2, 112)] 0.000000
heat_dom[('EH', 2, 113)] 0.000000
heat_dom[('EH', 2, 114)] 0.000000
heat_dom[('EH', 2, 115)] 0.000000
heat_dom[('EH', 2, 116)] 0.000000
heat_dom[('EH', 2, 117)] 0.000000
heat_dom[('EH', 2, 118)] 0.000000
heat_dom[('EH', 2, 119)] 0.000000
heat_dom[('EH', 2, 120)] 0.000000
heat_dom[('EH', 2, 121)] 0.000000
heat_dom[('EH', 2, 122)] 0.000000
heat_dom[('EH', 2, 123)] 0.000000
heat_dom[('EH', 2, 124)] 0.000000
heat_dom[('EH', 2, 125)] 0.000000
heat_dom[('EH', 2, 126)] 0.000000
heat_dom[('EH', 2, 127)] 0.000000
heat_dom[('EH', 2, 128)] 0.000000
heat_dom[('EH', 2, 129)] 0.000000
heat_dom[('EH', 2, 130)] 0.000000
heat_dom[('EH', 2, 131)] 0.000000
heat_dom[('EH', 2, 132)] 0.000000
heat_dom[('EH', 2, 133)] 0.000000
heat_dom[('EH', 2, 134)] 0.000000
heat_dom[('EH', 2, 135)] 0.000000
heat_dom[('EH', 2, 136)] 0.000000
heat_dom[('EH', 2, 137)] 0.000000
heat_dom[('EH', 2, 138)] 0.000000
heat_dom[('EH', 2, 139)] 0.000000
heat_dom[('EH', 2, 140)] 0.000000
heat_dom[('EH', 2, 141)] 0.000000
heat_dom[('EH', 2, 142)] 0.000000
heat_dom[('EH', 2, 143)] 0.000000
heat_dom[('EH', 2, 144)] 0.000000
heat_dom[('EH', 2, 145)] 0.000000
heat_dom[('EH', 2, 146)] 0.000000
heat_dom[('EH', 2, 147)] 0.000000
heat_dom[('EH', 2, 148)] 0.000000
heat_dom[('EH', 2, 149)] 0.000000
heat_dom[('EH', 2, 150)] 0.000000
heat_dom[('EH', 2, 151)] 0.000000
heat_dom[('EH', 2, 152)] 0.000000
heat_dom[('EH', 2, 153)] 0.000000
heat_dom[('EH', 2, 154)] 0.000000
heat_dom[('EH', 2, 155)] 0.000000
heat_dom[('EH', 2, 156)] 0.000000
heat_dom[('EH', 2, 157)] 0.000000
heat_dom[('EH', 2, 158)] 0.000000
heat_dom[('EH', 2, 159)] 0.000000
heat_dom[('EH', 2, 160)] 0.000000
heat_dom[('EH', 2, 161)] 0.000000
heat_dom[('EH', 2, 162)] 0.000000
heat_dom[('EH', 2, 163)] 0.000000
heat_dom[('EH', 2, 164)] 0.000000
heat_dom[('EH', 2, 165)] 0.000000
heat_dom[('EH', 2, 166)] 0.000000
heat_dom[('EH', 2, 167)] 0.000000
heat_dom[('CHP', 0, 0)] 0.000000
heat_dom[('CHP', 0, 1)] 0.000000
heat_dom[('CHP', 0, 2)] 0.000000
heat_dom[('CHP', 0, 3)] 0.000000
heat_dom[('CHP', 0, 4)] 0.000000
heat_dom[('CHP', 0, 5)] 0.000000
heat_dom[('CHP', 0, 6)] 0.000000
heat_dom[('CHP', 0, 7)] 0.000000
heat_dom[('CHP', 0, 8)] 0.000000
heat_dom[('CHP', 0, 9)] 0.000000
heat_dom[('CHP', 0, 10)] 0.000000
heat_dom[('CHP', 0, 11)] 0.000000
heat_dom[('CHP', 0, 12)] 0.000000
heat_dom[('CHP', 0, 13)] 0.000000
heat_dom[('CHP', 0, 14)] 0.000000
heat_dom[('CHP', 0, 15)] 0.000000
heat_dom[('CHP', 0, 16)] 0.000000
heat_dom[('CHP', 0, 17)] 0.000000
heat_dom[('CHP', 0, 18)] 0.000000
heat_dom[('CHP', 0, 19)] 0.000000
heat_dom[('CHP', 0, 20)] 0.000000
heat_dom[('CHP', 0, 21)] 0.000000
heat_dom[('CHP', 0, 22)] 0.000000
heat_dom[('CHP', 0, 23)] 0.000000
heat_dom[('CHP', 0, 24)] 0.000000
heat_dom[('CHP', 0, 25)] 0.000000
heat_dom[('CHP', 0, 26)] 0.000000
heat_dom[('CHP', 0, 27)] 0.000000
heat_dom[('CHP', 0, 28)] 0.000000
heat_dom[('CHP', 0, 29)] 0.000000
heat_dom[('CHP', 0, 30)] 0.000000
heat_dom[('CHP', 0, 31)] 0.000000
heat_dom[('CHP', 0, 32)] 0.000000
heat_dom[('CHP', 0, 33)] 0.000000
heat_dom[('CHP', 0, 34)] 0.000000
heat_dom[('CHP', 0, 35)] 0.000000
heat_dom[('CHP', 0, 36)] 0.000000
heat_dom[('CHP', 0, 37)] 0.000000
heat_dom[('CHP', 0, 38)] 0.000000
heat_dom[('CHP', 0, 39)] 0.000000
heat_dom[('CHP', 0, 40)] 0.000000
heat_dom[('CHP', 0, 41)] 0.000000
heat_dom[('CHP', 0, 42)] 0.000000
heat_dom[('CHP', 0, 43)] 0.000000
heat_dom[('CHP', 0, 44)] 0.000000
heat_dom[('CHP', 0, 45)] 0.000000
heat_dom[('CHP', 0, 46)] 0.000000
heat_dom[('CHP', 0, 47)] 0.000000
heat_dom[('CHP', 0, 48)] 0.000000
heat_dom[('CHP', 0, 49)] 0.000000
heat_dom[('CHP', 0, 50)] 0.000000
heat_dom[('CHP', 0, 51)] 0.000000
heat_dom[('CHP', 0, 52)] 0.000000
heat_dom[('CHP', 0, 53)] 0.000000
heat_dom[('CHP', 0, 54)] 0.000000
heat_dom[('CHP', 0, 55)] 0.000000
heat_dom[('CHP', 0, 56)] 0.000000
heat_dom[('CHP', 0, 57)] 0.000000
heat_dom[('CHP', 0, 58)] 0.000000
heat_dom[('CHP', 0, 59)] 0.000000
heat_dom[('CHP', 0, 60)] 0.000000
heat_dom[('CHP', 0, 61)] 0.000000
heat_dom[('CHP', 0, 62)] 0.000000
heat_dom[('CHP', 0, 63)] 0.000000
heat_dom[('CHP', 0, 64)] 0.000000
heat_dom[('CHP', 0, 65)] 0.000000
heat_dom[('CHP', 0, 66)] 0.000000
heat_dom[('CHP', 0, 67)] 0.000000
heat_dom[('CHP', 0, 68)] 0.000000
heat_dom[('CHP', 0, 69)] 0.000000
heat_dom[('CHP', 0, 70)] 0.000000
heat_dom[('CHP', 0, 71)] 0.000000
heat_dom[('CHP', 0, 72)] 0.000000
heat_dom[('CHP', 0, 73)] 0.000000
heat_dom[('CHP', 0, 74)] 0.000000
heat_dom[('CHP', 0, 75)] 0.000000
heat_dom[('CHP', 0, 76)] 0.000000
heat_dom[('CHP', 0, 77)] 0.000000
heat_dom[('CHP', 0, 78)] 0.000000
heat_dom[('CHP', 0, 79)] 0.000000
heat_dom[('CHP', 0, 80)] 0.000000
heat_dom[('CHP', 0, 81)] 0.000000
heat_dom[('CHP', 0, 82)] 0.000000
heat_dom[('CHP', 0, 83)] 0.000000
heat_dom[('CHP', 0, 84)] 0.000000
heat_dom[('CHP', 0, 85)] 0.000000
heat_dom[('CHP', 0, 86)] 0.000000
heat_dom[('CHP', 0, 87)] 0.000000
heat_dom[('CHP', 0, 88)] 0.000000
heat_dom[('CHP', 0, 89)] 0.000000
heat_dom[('CHP', 0, 90)] 0.000000
heat_dom[('CHP', 0, 91)] 0.000000
heat_dom[('CHP', 0, 92)] 0.000000
heat_dom[('CHP', 0, 93)] 0.000000
heat_dom[('CHP', 0, 94)] 0.000000
heat_dom[('CHP', 0, 95)] 0.000000
heat_dom[('CHP', 0, 96)] 0.000000
heat_dom[('CHP', 0, 97)] 0.000000
heat_dom[('CHP', 0, 98)] 0.000000
heat_dom[('CHP', 0, 99)] 0.000000
heat_dom[('CHP', 0, 100)] 0.000000
heat_dom[('CHP', 0, 101)] 0.000000
heat_dom[('CHP', 0, 102)] 0.000000
heat_dom[('CHP', 0, 103)] 0.000000
heat_dom[('CHP', 0, 104)] 0.000000
heat_dom[('CHP', 0, 105)] 0.000000
heat_dom[('CHP', 0, 106)] 0.000000
heat_dom[('CHP', 0, 107)] 0.000000
heat_dom[('CHP', 0, 108)] 0.000000
heat_dom[('CHP', 0, 109)] 0.000000
heat_dom[('CHP', 0, 110)] 0.000000
