Support_Year;Cluster;Timestep;to_network_kW;from_network_kW;to_main_grid_kW;from_main_grid_kW;to_grid_kW;from_grid_kW
0;2;126;0.0;0.0;0.0;0.0;0.0;0.0
0;2;127;0.0;0.0;0.0;0.0;0.0;0.0
0;2;128;0.0;0.0;0.0;0.0;0.0;0.0
0;2;129;0.0;0.0;0.0;0.0;0.0;0.0
0;2;130;0.0;0.0;0.0;0.0;0.0;0.0
0;2;131;0.0;0.0;3.326;0.0;3.326;0.0
0;2;132;0.0;0.0;80.917;0.0;80.917;0.0
0;2;133;0.0;0.0;99.655;0.0;99.655;0.0
0;2;134;0.0;0.0;100.659;0.0;100.659;0.0
0;2;135;0.0;0.0;18.619;0.0;18.619;0.0
0;2;136;0.0;0.0;0.0;0.0;0.0;0.0
0;2;137;0.0;0.0;0.0;0.0;0.0;0.0
0;2;138;0.0;0.0;0.0;0.0;0.0;0.0
0;2;139;0.0;0.0;0.0;0.0;0.0;0.0
0;2;140;0.0;0.0;0.0;0.0;0.0;0.0
0;2;141;0.0;0.0;0.0;0.0;0.0;0.0
0;2;142;0.0;0.0;0.0;0.0;0.0;0.0
0;2;143;0.0;0.0;0.0;0.0;0.0;0.0
0;2;144;0.0;0.0;0.0;0.0;0.0;0.0
0;2;145;0.0;0.0;0.0;0.0;0.0;0.0
0;2;146;0.0;0.0;0.0;0.0;0.0;0.0
0;2;147;0.0;0.0;0.0;0.0;0.0;0.0
0;2;148;0.0;0.0;0.0;0.0;0.0;0.0
0;2;149;0.0;0.0;0.0;0.0;0.0;0.0
0;2;150;0.0;0.0;0.0;0.0;0.0;0.0
0;2;151;0.0;0.0;0.0;0.0;0.0;0.0
0;2;152;0.0;0.0;0.0;0.0;0.0;0.0
0;2;153;0.0;0.0;0.0;0.0;0.0;0.0
0;2;154;0.0;0.0;0.0;0.0;0.0;0.0
0;2;155;0.0;0.0;16.435;0.0;16.435;0.0
0;2;156;0.0;0.0;21.118;0.0;21.118;0.0
0;2;157;0.0;0.0;26.716;0.0;26.716;0.0
0;2;158;0.0;0.0;21.07;0.0;21.07;0.0
0;2;159;0.0;0.0;0.0;0.0;0.0;0.0
0;2;160;0.0;0.0;0.0;0.0;0.0;0.0
0;2;161;0.0;0.0;0.0;0.0;0.0;0.0
0;2;162;0.0;0.0;0.0;0.0;0.0;0.0
0;2;163;0.0;0.0;0.0;0.0;0.0;0.0
0;2;164;0.0;0.0;0.0;0.0;0.0;0.0
0;2;165;0.0;0.0;0.0;0.0;0.0;0.0
0;2;166;0.0;0.0;0.0;0.0;0.0;0.0
0;2;167;0.0;0.0;0.0;0.0;0.0;0.0
0;3;0;0.0;0.0;0.0;0.0;0.0;0.0
0;3;1;0.0;0.0;0.0;0.0;0.0;0.0
0;3;2;0.0;0.0;0.0;0.0;0.0;0.0
0;3;3;0.0;0.0;0.0;0.0;0.0;0.0
0;3;4;0.0;0.0;0.0;0.0;0.0;0.0
0;3;5;0.0;0.0;0.0;0.0;0.0;0.0
0;3;6;0.0;0.0;0.0;0.0;0.0;0.0
0;3;7;0.0;0.0;0.0;0.0;0.0;0.0
0;3;8;0.0;0.0;0.0;0.0;0.0;0.0
0;3;9;0.0;0.0;0.0;0.0;0.0;0.0
0;3;10;0.0;0.0;0.0;0.0;0.0;0.0
0;3;11;0.0;0.0;0.0;0.0;0.0;0.0
0;3;12;0.0;0.0;26.311;0.0;26.311;0.0
0;3;13;0.0;0.0;130.736;0.0;130.736;0.0
0;3;14;0.0;0.0;112.91;0.0;112.91;0.0
0;3;15;0.0;0.0;41.433;0.0;41.433;0.0
0;3;16;0.0;0.0;0.0;0.0;0.0;0.0
0;3;17;0.0;0.0;0.0;0.0;0.0;0.0
0;3;18;0.0;0.0;0.0;0.0;0.0;0.0
0;3;19;0.0;0.0;0.0;0.0;0.0;0.0
0;3;20;0.0;0.0;0.0;0.0;0.0;0.0
0;3;21;0.0;0.0;0.0;0.0;0.0;0.0
0;3;22;0.0;0.0;0.0;0.0;0.0;0.0
0;3;23;0.0;0.0;0.0;0.0;0.0;0.0
0;3;24;0.0;0.0;0.0;0.0;0.0;0.0
0;3;25;0.0;0.0;0.0;0.0;0.0;0.0
0;3;26;0.0;0.0;0.0;0.0;0.0;0.0
0;3;27;0.0;0.0;0.0;0.0;0.0;0.0
0;3;28;0.0;0.0;0.0;0.0;0.0;0.0
0;3;29;0.0;0.0;0.0;0.0;0.0;0.0
0;3;30;0.0;0.0;0.0;0.0;0.0;0.0
0;3;31;0.0;0.0;0.0;0.0;0.0;0.0
0;3;32;0.0;0.0;0.0;0.0;0.0;0.0
0;3;33;0.0;0.0;0.0;0.0;0.0;0.0
0;3;34;0.0;0.0;14.249;0.0;14.249;0.0
0;3;35;0.0;0.0;30.288;0.0;30.288;0.0
0;3;36;0.0;0.0;55.538;0.0;55.538;0.0
0;3;37;0.0;0.0;7.592;0.0;7.592;0.0
0;3;38;0.0;0.0;0.0;0.0;0.0;0.0
0;3;39;0.0;0.0;0.0;0.0;0.0;0.0
0;3;40;0.0;0.0;0.0;0.0;0.0;0.0
0;3;41;0.0;0.0;0.0;0.0;0.0;0.0
0;3;42;0.0;0.0;0.0;0.0;0.0;0.0
0;3;43;0.0;0.0;0.0;0.095;0.0;0.095
0;3;44;0.0;0.0;0.0;49.161;0.0;49.161
0;3;45;0.0;0.0;0.0;31.132;0.0;31.132
0;3;46;0.0;0.0;0.0;7.108;0.0;7.108
0;3;47;0.0;0.0;0.0;3.765;0.0;3.765
0;3;48;0.0;0.0;0.0;0.0;0.0;0.0
0;3;49;0.0;0.0;0.0;0.0;0.0;0.0
0;3;50;0.0;0.0;0.0;0.0;0.0;0.0
0;3;51;0.0;0.0;0.0;0.0;0.0;0.0
0;3;52;0.0;0.0;0.0;0.0;0.0;0.0
0;3;53;0.0;0.0;0.0;0.0;0.0;0.0
0;3;54;0.0;0.0;0.0;0.0;0.0;0.0
0;3;55;0.0;0.0;0.0;0.0;0.0;0.0
0;3;56;0.0;0.0;0.0;0.0;0.0;0.0
0;3;57;0.0;0.0;0.0;0.0;0.0;0.0
0;3;58;0.0;0.0;0.0;0.0;0.0;0.0
0;3;59;0.0;0.0;0.0;0.0;0.0;0.0
0;3;60;0.0;0.0;0.0;0.0;0.0;0.0
0;3;61;0.0;0.0;42.542;0.0;42.542;0.0
0;3;62;0.0;0.0;0.0;0.0;0.0;0.0
0;3;63;0.0;0.0;0.0;0.0;0.0;0.0
0;3;64;0.0;0.0;0.0;0.0;0.0;0.0
0;3;65;0.0;0.0;0.0;0.0;0.0;0.0
0;3;66;0.0;0.0;0.0;0.0;0.0;0.0
0;3;67;0.0;0.0;0.0;0.0;0.0;0.0
0;3;68;0.0;0.0;0.0;0.0;0.0;0.0
0;3;69;0.0;0.0;0.0;0.0;0.0;0.0
0;3;70;0.0;0.0;0.0;0.0;0.0;0.0
0;3;71;0.0;0.0;0.0;0.0;0.0;0.0
0;3;72;0.0;0.0;0.0;0.0;0.0;0.0
0;3;73;0.0;0.0;0.0;0.0;0.0;0.0
0;3;74;0.0;0.0;0.0;0.0;0.0;0.0
0;3;75;0.0;0.0;0.0;0.0;0.0;0.0
0;3;76;0.0;0.0;0.0;0.0;0.0;0.0
0;3;77;0.0;0.0;0.0;0.0;0.0;0.0
0;3;78;0.0;0.0;0.0;0.0;0.0;0.0
0;3;79;0.0;0.0;0.0;0.0;0.0;0.0
0;3;80;0.0;0.0;0.0;0.0;0.0;0.0
0;3;81;0.0;0.0;0.0;0.0;0.0;0.0
0;3;82;0.0;0.0;0.0;0.0;0.0;0.0
0;3;83;0.0;0.0;0.0;0.0;0.0;0.0
0;3;84;0.0;0.0;0.0;0.0;0.0;0.0
0;3;85;0.0;0.0;43.173;0.0;43.173;0.0
0;3;86;0.0;0.0;36.292;0.0;36.292;0.0
0;3;87;0.0;0.0;0.0;0.0;0.0;0.0
0;3;88;0.0;0.0;0.0;0.0;0.0;0.0
0;3;89;0.0;0.0;0.0;0.0;0.0;0.0
0;3;90;0.0;0.0;0.0;0.0;0.0;0.0
0;3;91;0.0;0.0;0.0;0.0;0.0;0.0
0;3;92;0.0;0.0;0.0;0.0;0.0;0.0
0;3;93;0.0;0.0;0.0;0.0;0.0;0.0
0;3;94;0.0;0.0;0.0;0.0;0.0;0.0
0;3;95;0.0;0.0;0.0;0.0;0.0;0.0
0;3;96;0.0;0.0;0.0;0.0;0.0;0.0
0;3;97;0.0;0.0;0.0;0.0;0.0;0.0
0;3;98;0.0;0.0;0.0;0.0;0.0;0.0
0;3;99;0.0;0.0;0.0;0.0;0.0;0.0
0;3;100;0.0;0.0;0.0;0.0;0.0;0.0
0;3;101;0.0;0.0;0.0;0.0;0.0;0.0
0;3;102;0.0;0.0;0.0;0.0;0.0;0.0
0;3;103;0.0;0.0;0.0;0.0;0.0;0.0
0;3;104;0.0;0.0;0.0;0.0;0.0;0.0
0;3;105;0.0;0.0;0.0;0.0;0.0;0.0
0;3;106;0.0;0.0;0.0;0.0;0.0;0.0
0;3;107;0.0;0.0;0.0;0.0;0.0;0.0
0;3;108;0.0;0.0;0.0;0.0;0.0;0.0
0;3;109;0.0;0.0;0.0;0.0;0.0;0.0
0;3;110;0.0;0.0;0.0;0.0;0.0;0.0
0;3;111;0.0;0.0;0.0;0.0;0.0;0.0
0;3;112;0.0;0.0;0.0;0.0;0.0;0.0
0;3;113;0.0;0.0;0.0;0.0;0.0;0.0
0;3;114;0.0;0.0;0.0;34.403;0.0;34.403
0;3;115;0.0;0.0;0.0;41.717;0.0;41.717
0;3;116;0.0;0.0;0.0;32.372;0.0;32.372
0;3;117;0.0;0.0;0.0;39.454;0.0;39.454
0;3;118;0.0;0.0;0.0;23.713;0.0;23.713
0;3;119;0.0;0.0;0.0;32.497;0.0;32.497
0;3;120;0.0;0.0;0.0;0.0;0.0;0.0
0;3;121;0.0;0.0;0.0;0.0;0.0;0.0
0;3;122;0.0;0.0;20.279;0.0;20.279;0.0
0;3;123;0.0;0.0;17.588;0.0;17.588;0.0
0;3;124;0.0;0.0;17.022;0.0;17.022;0.0
0;3;125;0.0;0.0;13.278;0.0;13.278;0.0
0;3;126;0.0;0.0;16.357;0.0;16.357;0.0
0;3;127;0.0;0.0;0.0;1.998;0.0;1.998
0;3;128;0.0;0.0;0.0;16.212;0.0;16.212
0;3;129;0.0;0.0;0.0;0.0;0.0;0.0
0;3;130;0.0;0.0;5.969;0.0;5.969;0.0
0;3;131;0.0;0.0;1.606;0.0;1.606;0.0
0;3;132;0.0;0.0;29.345;0.0;29.345;0.0
0;3;133;0.0;0.0;10.908;0.0;10.908;0.0
0;3;134;0.0;0.0;13.068;0.0;13.068;0.0
0;3;135;0.0;0.0;4.105;0.0;4.105;0.0
0;3;136;0.0;0.0;0.0;19.133;0.0;19.133
0;3;137;0.0;0.0;0.0;24.981;0.0;24.981
0;3;138;0.0;0.0;0.0;28.526;0.0;28.526
0;3;139;0.0;0.0;0.0;42.678;0.0;42.678
0;3;140;0.0;0.0;0.0;46.439;0.0;46.439
0;3;141;0.0;0.0;0.0;51.755;0.0;51.755
0;3;142;0.0;0.0;0.0;32.35;0.0;32.35
0;3;143;0.0;0.0;0.0;18.787;0.0;18.787
0;3;144;0.0;0.0;22.141;0.0;22.141;0.0
0;3;145;0.0;0.0;17.904;0.0;17.904;0.0
0;3;146;0.0;0.0;17.973;0.0;17.973;0.0
0;3;147;0.0;0.0;18.292;0.0;18.292;0.0
0;3;148;0.0;0.0;17.726;0.0;17.726;0.0
0;3;149;0.0;0.0;16.933;0.0;16.933;0.0
0;3;150;0.0;0.0;14.139;0.0;14.139;0.0
0;3;151;0.0;0.0;0.033;0.0;0.033;0.0
0;3;152;0.0;0.0;0.0;17.433;0.0;17.433
0;3;153;0.0;0.0;0.0;0.0;0.0;0.0
0;3;154;0.0;0.0;0.0;0.0;0.0;0.0
0;3;155;0.0;0.0;0.0;0.0;0.0;0.0
0;3;156;0.0;0.0;0.0;0.0;0.0;0.0
0;3;157;0.0;0.0;0.0;0.0;0.0;0.0
0;3;158;0.0;0.0;0.0;0.0;0.0;0.0
0;3;159;0.0;0.0;0.0;0.0;0.0;0.0
0;3;160;0.0;0.0;0.0;0.0;0.0;0.0
0;3;161;0.0;0.0;0.0;0.0;0.0;0.0
0;3;162;0.0;0.0;0.0;0.0;0.0;0.0
0;3;163;0.0;0.0;0.0;3.323;0.0;3.323
0;3;164;0.0;0.0;0.0;32.629;0.0;32.629
0;3;165;0.0;0.0;0.0;33.505;0.0;33.505
0;3;166;0.0;0.0;0.0;30.097;0.0;30.097
0;3;167;0.0;0.0;0.0;11.093;0.0;11.093
